TERYT;DZ_IDENT;GR_WL_OP;je_nr;obr_nazwa;nr;id;pow_ewid;pow_graf;aktualnosc;id_iip;tz;dzk_ident;counter;uchwalenie;data_uchwa;ogloszenie;data_duwm;data_obowi;www;przystapie;data_przys;prowadzacy;wykonanie;uchwala_od;id_pg;oznaczenie;rodzaj_ozn;gdb_id;opis_oznac;nazwa_mpzp;nazwa;data_uchwa_1;uchwalenie_1;ogloszenie_1;data_duwm_1;data_obowi_1;www_1;id_pg_1;je_nr_1;obr_nazwa_1;nr_1;id_1;pow_ewid_1;pow_graf_1;aktualnosc_1;id_iip_1;tz_1;dzk_ident_1;counter_1;oznaczenie_1;rodzaj_ozn_1;nazwa_mpzp_1;gdb_id_1;opis_oznac_1;je_nazwa;je_nazwa_1
126105_9;126105_9.0016.239/8;Gmina Kraków - współwłasność;1261059;S-16;239/8;63400869;32.0;32.31345;1704153600000;AAB98628-24C1-4EBD-8546-EDBB5767C1DE;0 - nie;126105_9.0016.239/8;2;LIX/1738/21;1623196800000;poz. 3508;1623974400000;1625270400000;https://www.bip.krakow.pl/?dok_id=142140;;;;;;15782;U/MNi.2;U/MNi;0D93C18B35B30AA5E0630D0A1EAC4A6E;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0004.171/74;Gmina Kraków - współwłasność;1261059;S-4;171/74;65440180;321.0;321.06965001;1704153600000;DF1048E2-5C3A-44F4-BF41-F3350718F617;0 - nie;126105_9.0004.171/74;2;LXXVI/1105/13;1370995200000;poz. 4092;1371600000000;1372896000000;http://www.bip.krakow.pl/?dok_id=56841;;;;;;6069;ZP.2;ZP;0D93C18B2DB00AA5E0630D0A1EAC4A6E;;UGOREK - WSCHÓD;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0006.521/7;Gmina Kraków - współwłasność;1261059;S-6;521/7;67095849;1867.0;1876.78964999;1704153600000;AA0CBDA1-9CE2-46C8-8CD8-1B63E2C131D7;0 - nie;126105_9.0006.521/7;2;LXII/888/12;1354665600000;poz. 7281;1355443200000;1358121600000;http://www.bip.krakow.pl/?dok_id=54118;;;;;;5312;KD/D.31;KD/D;0D93C18B1B580AA5E0630D0A1EAC4A6E;Tereny dróg publicznych klasy dojazdowej;OSIEDLE OFICERSKIE;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0016.239/7;Gmina Kraków - współwłasność;1261059;S-16;239/7;63400868;9.0;9.40615;1704153600000;135F2CC2-EB12-4980-A0DC-5FD5E3DE7C86;0 - nie;126105_9.0016.239/7;2;LIX/1738/21;1623196800000;poz. 3508;1623974400000;1625270400000;https://www.bip.krakow.pl/?dok_id=142140;;;;;;15782;U/MNi.2;U/MNi;0D93C18B35B30AA5E0630D0A1EAC4A6E;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0016.178/6;Gmina Kraków - współwłasność;1261059;S-16;178/6;63400867;219.0;218.5821;1704153600000;8EF1D4E8-7376-4535-9B7D-23B15F5E833C;0 - nie;126105_9.0016.178/6;2;LIX/1738/21;1623196800000;poz. 3508;1623974400000;1625270400000;https://www.bip.krakow.pl/?dok_id=142140;;;;;;15782;U/MNi.2;U/MNi;0D93C18B35B30AA5E0630D0A1EAC4A6E;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0008.219/5;Gmina Kraków - współwłasność;1261059;S-8;219/5;65549559;2076.0;2076.16190002;1704153600000;3F7D9B65-8AD1-454D-8708-3182548F287F;0 - nie;126105_9.0008.219/5;2;LXXXI/2314/22;1648598400000;2022.2594;1649376000000;1650672000000;https://www.bip.krakow.pl/?dok_id=151220;;;;;;16850;KDD.4;KDD;0D93C18B3A930AA5E0630D0A1EAC4A6E;Tereny dróg publicznych klasy dojazdowej (KDD.1-KDD.7);WITA STWOSZA;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0017.148/47;Gmina Kraków - współwłasność;1261059;S-17;148/47;62537781;231.0;231.06365;1704153600000;8F2E7838-08D2-4CA7-B4DB-F2399B797449;0 - nie;126105_9.0017.148/47;2;null;null;null;null;null;https://www.bip.krakow.pl/?dok_id=160773;C/2712/22;1669161600000;MAN;BP;null;507;;;;;;GRZEGÓRZKI - CENTRUM;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0022.700/4;Gmina Kraków - współwłasność;1261059;S-22;700/4;65497658;226.0;226.77575001;1704153600000;A59ECF97-7A06-472F-A3F2-DEBECED2477C;0 - nie;126105_9.0022.700/4;2;C/1532/14;1395792000000;poz. 2257;1397520000000;1398816000000;http://www.bip.krakow.pl/?dok_id=61192;;;;;;7991;KDW.5;KDW;0D93C18B20F70AA5E0630D0A1EAC4A6E;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0016.178/4;Gmina Kraków - współwłasność;1261059;S-16;178/4;63400866;90.0;89.71515;1704153600000;1E10ECEE-63A0-4302-A171-C46664C79743;0 - nie;126105_9.0016.178/4;2;LIX/1738/21;1623196800000;poz. 3508;1623974400000;1625270400000;https://www.bip.krakow.pl/?dok_id=142140;;;;;;15782;U/MNi.2;U/MNi;0D93C18B35B30AA5E0630D0A1EAC4A6E;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0005.494/3;Gmina Kraków - współwłasność;1261059;S-5;494/3;62536633;355.0;354.42835;1704153600000;5DC5E226-E547-46B5-82F9-610BF6732967;0 - nie;126105_9.0005.494/3;2;CV/1411/10;1278460800000;Nr 372  poz. 2563;1279756800000;1282435200000;http://www.bip.krakow.pl/?bip_id=1&ampdok_id=28911&ampsub_dok_id=28911;;;;;;2763;2KDL;KDL;0D93C18B10110AA5E0630D0A1EAC4A6E;Tereny publicznych dróg lokalnych;CYSTERSÓW;;;;;;;;;1261059;S-5;377/19;65212941;520.0;519.8806;1704153600000;1836A5BC-BAC7-4A5C-8B68-2FB718C29907;0 - nie;126105_9.0005.377/19;2;;;;;;;
